,data.num_clients,Client ID,client.local_epochs,strategy,server_kWh,round_energy_kWh,round_server_kWh
464,100,46,20,fedadam,0.0257168515389566,9.356830314944444e-05,0.00020573481231165282
465,100,46,20,fedyogi,0.0408327786327263,9.521218068857639e-05,0.00020518984237550904
466,100,47,3,fedadam,0.0138436746614891,5.3719919156666674e-06,0.00011731927679228052
467,100,47,3,fedavg,0.0222674814497875,6.2712800614814815e-06,0.00012580497994230227
468,100,47,3,fedyogi,0.00461752938317,2.568031754652778e-06,8.712319590886792e-05
469,100,47,5,fedadam,0.045227111175087965,1.5731217240717595e-05,0.00012352391149122666
470,100,47,5,fedyogi,0.0296543450451,1.62223049525e-05,0.0001251238187556962
471,100,47,10,fedadam,0.028498313617254238,3.925888785106209e-05,0.00015149772577858532
472,100,47,10,fedavg,0.0171805496442688,3.7971906739444446e-05,0.00016056588452587666
473,100,47,10,fedyogi,0.06277071952461734,3.945569467965021e-05,0.00015019884094302072
474,100,47,20,fedadam,0.0257168515389566,8.715320057921297e-05,0.00020573481231165282
475,100,47,20,fedyogi,0.0408327786327263,8.78478719026852e-05,0.00020518984237550904
476,100,48,3,fedadam,0.0138436746614891,1.578504133159722e-05,0.00011731927679228051
477,100,48,3,fedavg,0.0222674814497875,1.606895482e-05,0.00012580497994230227
478,100,48,3,fedyogi,0.00461752938317,7.605953479444444e-06,8.712319590886792e-05
479,100,48,5,fedadam,0.04488606635335111,3.07089232563426e-05,0.00012355300624245256
480,100,48,5,fedyogi,0.0296543450451,3.111642321691358e-05,0.0001251238187556962
481,100,48,10,fedadam,0.028498313617254238,7.184961656642157e-05,0.00015149772577858532
